name	id_staz	id_reg	lat	lon
Brunico 	S02107	9	46.794922	11.929989
Bruno	S00837	3	44.797947	8.439639
Bruzolo	S00209	3	45.131032	7.201497
Buccino S.	S09828	18	40.600806	15.374199
Bucine	S06911	13	43.480478	11.617609
Budoia Polcenigo	S03088	10	46.031464	12.537637
Bugnara	S08538	19	42.031166	13.862082
Buonconvento	S06874	13	43.135503	11.483773
Buonfornello	S12016	14	37.972052	13.816408
Buronzo	S00054	3	45.47179	8.2667
Busalla	S04215	2	44.57558	8.943611
Busca	S00704	3	44.520585	7.481589
Busche Lentiai Mel	S02563	12	46.040092	11.979251
Busseto	S01963	8	44.974692	10.038909
Bussi	S07704	19	42.194154	13.849075
Bussoleno	S00208	3	45.139631	7.144819
Busto Arsizio	S01031	1	45.616164	8.865031
Buttafava	S01482	1	45.62141	9.301185
Buttapietra	S05301	12	45.338787	10.988059
Buttrio	S03029	10	46.012664	13.329039
Cadeo	S05006	8	44.967283	9.853181
Cagliari	S12891	20	39.216078	9.107984
Cagliari Elmas	S12890	20	39.264193	9.045497
Cairo Montenotte	S00879	2	44.394747	8.278786
Cala Sabina	S12851	20	41.011012	9.5881
Calalzo Pieve Cadore Cortina	S02550	12	46.443829	12.388668
Calamandrana	S00833	3	44.738986	8.331572
Calatabiano	S12321	14	37.814684	15.226568
Calatafimi	S12151	14	37.938858	12.856156
Calceranica	S02307	9	46.007384	11.240713
Calciano	S11455	15	40.595117	16.202526
Calcio	S01712	1	45.532937	9.841342
Calde`	S01117	1	45.945812	8.663157
Caldiero	S02437	12	45.41407	11.169753
Caldonazzo	S02308	9	45.997575	11.264815
Calenzano	S06417	13	43.856429	11.14537
Calitri Pescopagano	S09620	18	40.884932	15.427962
Calolziocorte Olginate	S01524	1	45.801619	9.42698
Calopezzati	S11815	17	39.579022	16.819361
Caltagirone	S12270	14	37.225276	14.521165
Caltanissetta Centrale	S12381	14	37.48829	14.057396
Caltanissetta Xirbi	S12380	14	37.536296	14.056902
Caltignaga	S00020	3	45.519167	8.591602
Calusco	S01503	1	45.684113	9.470646
Caluso	S00158	3	45.303194	7.902568
Calvisano	S01843	1	45.346572	10.349411
Camaiore Lido Capezzano	S06043	13	43.912176	10.24765
Cambiano	S06804	13	43.631183	10.958997
Cambiano Santena	S00456	3	44.966491	7.773225
Cammarata S.Giovanni Gemini	S12207	14	37.653759	13.673791
Camnago-Lentate	S01316	1	45.668425	9.133451
Camogli San Fruttuoso	S04716	2	44.348166	9.156743
Campagna Serre Persano	S09825	18	40.595667	15.113986
